gene_id	N45G1	N45G2	N45G3	N45G4	N45G5	S45G1	S45G2	S45G3	S45G4	S45G5
UdeG00000000437	0	0	0	13	3	11	12	0	0	0
UdeG00000000438	15	0	0	2	2	0	0	14	0	0
UdeG00000000439	22	7	25	0	0	0	3	1	6	3
UdeG00000000440	0	0	0	0	0	0	0	0	0	0
UdeG00000000441	0	0	0	0	0	0	0	0	0	0
UdeG00000000443	269	394	319	663	410	261	90	158	57	149
UdeG00000000444	0	0	0	6	0	1	0	0	14	0
UdeG00000000445	744	1493	959	1156	1131	178	411	1488	474	141
UdeG00000000446	3577	3587	6071	4412	4703	3739	4521	5498	3817	3383
UdeG00000000447	479	343	594	690	871	324	636	544	509	305
UdeG00000000448	4364	4357	7424	7162	7067	5018	6725	4978	5301	4377
UdeG00000000449	74	0	166	103	172	0	0	114	88	0
UdeG00000000451	212	227	562	451	513	356	359	346	453	314
UdeG00000000452	19	109	60	48	97	10	22	19	7	21
UdeG00000000453	0	0	0	0	0	2	0	0	0	2
UdeG00000000454	0	0	0	0	0	0	0	0	0	0
UdeG00000000455	0	0	0	0	11	2	1	2	0	0
UdeG00000000456	0	0	0	0	4	0	0	0	0	0
UdeG00000000457	0	0	0	0	0	0	0	0	0	0
UdeG00000000458	26	21	35	16	48	0	29	10	0	0
UdeG00000000459	140	39	80	85	166	38	48	64	54	55
UdeG00000000460	932	794	592	651	1221	223	333	497	262	401
UdeG00000000461	202	153	395	197	156	46	192	108	71	110
UdeG00000000462	134	247	115	199	182	110	112	168	144	128
UdeG00000000463	529	166	311	1241	2126	450	612	394	265	323
UdeG00000000465	333	292	611	587	432	284	322	394	383	402
UdeG00000000466	124	200	181	224	340	91	260	150	99	165
UdeG00000000467	12	65	6	29	32	6	0	4	4	0
UdeG00000000468	0	0	0	0	0	0	0	0	0	0
UdeG00000000469	0	0	7	4	0	0	0	0	9	0
UdeG00000000470	0	4	7	0	0	0	0	1	0	0
UdeG00000000471	0	3	0	0	1	0	1	0	1	0
UdeG00000000473	756	708	893	1102	1150	216	350	71	381	55
UdeG00000000474	94	167	275	389	156	134	45	170	115	114
UdeG00000000475	38	78	161	193	103	55	16	91	43	68
UdeG00000000476	12	13	59	98	38	18	18	41	22	13
UdeG00000000477	0	0	2	2	10	12	0	4	0	5
UdeG00000000478	192	188	398	268	368	135	178	287	142	139
UdeG00000000479	15	0	0	9	0	15	0	0	0	0
UdeG00000000480	256	118	192	391	278	45	174	184	50	85
UdeG00000000481	243	285	281	323	398	222	278	447	348	449
UdeG00000000482	0	0	0	0	0	0	0	0	0	0
UdeG00000000483	0	0	0	0	0	0	0	0	0	0
UdeG00000000484	0	0	0	0	0	0	0	0	0	0
UdeG00000000485	0	0	0	0	0	0	0	0	0	0
UdeG00000000487	0	0	0	0	0	0	0	0	0	0
UdeG00000000488	222	802	663	459	631	403	478	464	219	336
UdeG00000000489	26	80	101	104	110	78	88	56	29	60
UdeG00000000490	0	0	0	0	0	0	0	0	0	23
UdeG00000000491	140	59	194	281	187	76	114	188	83	135
UdeG00000000492	169	178	241	245	199	217	234	249	211	275
UdeG00000000493	250	496	381	197	480	106	98	209	203	139
UdeG00000000494	93	146	108	117	71	146	211	112	89	101
UdeG00000000495	388	525	712	544	702	387	691	570	567	332
